Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LogPPi	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
20	0.6636364	0.47246498	1.0	0.0	0.6	0.48989794	1.0	0.0	2.2636364	1.6	5000	0.6881024	0.17462781	1.4194314	-0.24333149	0.6882754	0.168668	1.2689242	-0.19926806	5.9687724	-6.0	0.0017166857	-0.7152455	0.009305331	0.009636305	-0.19726856	5774.074830532074
21	0.6818182	0.4657705	1.0	0.0	0.8	0.4	1.0	0.0	2.2818182	1.2	5250	0.69540155	0.18790251	1.3958764	-0.17752995	0.69529486	0.18497919	1.4693785	-0.2313376	5.952065	-6.0	0.0017021046	-0.7197058	0.009023749	0.009090384	-0.30395192	6104.353108167648
22	0.6698113	0.47028086	1.0	0.0	0.4	0.48989797	1.0	0.0	2.3301888	3.2	5500	0.69775754	0.20565102	1.5719701	-0.1969632	0.697843	0.20542121	1.6282278	-0.15665399	6.3631077	-6.0	0.0017802545	-0.72005445	0.008726423	0.008296045	2.2888691	6439.398968696594
23	0.67741936	0.46746376	1.0	0.0	0.8	0.4	1.0	0.0	2.032258	2.2	5750	0.6963344	0.217012	1.4067035	-0.2662656	0.6965593	0.21666996	1.5169042	-0.27853253	6.26192	-6.0	0.0021567214	-0.71215415	0.008328564	0.008270685	1.6125882	6791.261861085892
24	0.60169494	0.48954895	1.0	0.0	0.8	0.40000004	1.0	0.0	2.118644	2.0	6000	0.6995048	0.22250885	1.5303777	-0.23496549	0.6992437	0.22078462	1.4967487	-0.3164387	5.8997326	-6.0	0.0023092641	-0.7190065	0.008055541	0.008471896	-0.6092456	7128.258978366852
25	0.76744187	0.42246288	1.0	0.0	0.6	0.48989794	1.0	0.0	2.7325583	3.0	6250	0.70956665	0.22915858	1.6657463	-0.30397397	0.7094368	0.22760288	1.6493083	-0.2751056	5.807801	-6.0	0.0019698439	-0.72772646	0.00665496	0.0068466505	-1.187131	7448.073658704758
26	0.7625	0.42555112	1.0	0.0	0.6	0.48989794	1.0	0.0	3.3	2.4	6500	0.71658635	0.24163607	1.7922924	-0.2841631	0.7166755	0.24043997	1.7672968	-0.21918358	6.026029	-6.0	0.0019262923	-0.73712	0.0059393006	0.00607434	0.16384777	7743.571091413498
27	0.71910113	0.44943818	1.0	0.0	0.6	0.48989797	1.0	0.0	2.6853933	1.2	6750	0.7171012	0.24655673	1.4160099	-0.26125264	0.7171532	0.24548146	1.3715134	-0.31858134	5.883948	-6.0	0.0019446573	-0.7378879	0.005209854	0.0051732017	-0.7250939	8048.594664812088
28	0.6886792	0.46303362	1.0	0.0	1.0	0.0	1.0	1.0	2.471698	1.8	7000	0.7252176	0.25130907	1.4183687	-0.2589828	0.72518873	0.24962151	1.3891369	-0.32123595	6.0039787	-6.0	0.0018831121	-0.74712527	0.005532156	0.006038414	0.026758423	8377.097111940384
29	0.6826923	0.46542832	1.0	0.0	1.0	0.0	1.0	1.0	2.4038463	1.8	7250	0.72831035	0.24907222	1.72441	-0.30190438	0.72831374	0.24920093	1.7089611	-0.3454513	5.969582	-6.0	0.0018723821	-0.74629307	0.0057849903	0.005607817	-0.18915649	8702.184918165207
30	0.7887324	0.40820777	1.0	0.0	0.6	0.48989794	1.0	0.0	3.5352113	8.2	7500	0.7267294	0.2525747	1.3086573	-0.27527413	0.72680616	0.25330165	1.3812457	-0.3825617	5.896799	-6.0	0.0017564365	-0.75001097	0.005139035	0.004791692	-0.65204394	9034.999199151993
31	0.8045977	0.3965101	1.0	0.0	0.6	0.48989794	1.0	0.0	2.8390806	2.4	7750	0.73095375	0.25532153	1.7213727	-0.27171847	0.73097384	0.25523573	1.699109	-0.2552838	5.830666	-6.0	0.0016004443	-0.7556798	0.004417962	0.004535697	-1.0879058	9347.136940717697
32	0.734375	0.44166544	1.0	0.0	1.0	0.0	1.0	1.0	3.859375	2.0	8000	0.7325362	0.2580167	1.719848	-0.28239346	0.73240286	0.25772628	1.7192912	-0.3592057	5.992618	-6.0	0.0014363935	-0.7575259	0.0043887785	0.004407243	-0.045798402	9629.280220985413
33	0.7195122	0.44923759	1.0	0.0	1.0	0.0	1.0	1.0	3.109756	2.6	8250	0.73123777	0.26264033	1.6459582	-0.25995257	0.73137194	0.26363337	1.7016798	-0.39808285	6.132423	-6.0	0.0016026254	-0.75493616	0.0047751693	0.0044684215	0.8555059	9929.5192861557
