Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
20	0.6944444	0.46064234	1.0	0.0	0.6	0.48989794	1.0	0.0	6.7777777	9.0	5000	0.22982061	0.29179943	1.1911836	-0.26380908	0.22981852	0.29150668	1.1156818	-0.23902836	0.21947557	0.16094379	0.0015915136	-0.2852032	0.00056602224	0.00059765985	-0.37735075	6175.838461637497
21	0.72	0.4489989	1.0	0.0	1.0	0.0	1.0	1.0	5.06	4.0	5250	0.23006652	0.29033935	1.1108987	-0.17293385	0.23007737	0.29034314	1.1219844	-0.18460427	0.21272522	0.16094379	0.0012675255	-0.28260273	0.0005319357	0.000514959	-0.34488863	6490.949757099152
22	0.8	0.4	1.0	0.0	0.8	0.4	1.0	0.0	6.075	5.6	5500	0.23884372	0.2956225	1.1297671	-0.16287716	0.23886266	0.29559678	1.1153139	-0.18839842	0.18619299	0.16094379	0.0010694793	-0.2934184	0.0003874356	0.00038178146	-0.1725417	6805.126070022583
23	0.8717949	0.3343181	1.0	0.0	1.0	0.0	1.0	1.0	6.6666665	4.0	5750	0.24204074	0.29661804	1.0971457	-0.14882267	0.2420522	0.2966634	1.0949575	-0.16708742	0.17236555	0.16094379	0.00096869253	-0.29537207	0.000369376	0.00034053705	-0.07916602	7106.053793430328
24	0.8636364	0.3431743	1.0	0.0	0.4	0.48989797	1.0	0.0	5.681818	3.4	6000	0.24226649	0.2959035	1.1409955	-0.12577653	0.24227186	0.29576266	1.1190594	-0.14423603	0.16200091	0.16094379	0.0009390114	-0.29362082	0.00036726802	0.00036778787	-0.0073528206	7414.022116422653
25	0.79591835	0.40302894	1.0	0.0	0.8	0.4	1.0	0.0	5.163265	5.2	6250	0.2468255	0.29796705	1.0898136	-0.14131127	0.24677716	0.2980742	1.0909909	-0.13433482	0.15062219	0.16094379	0.00096320163	-0.2998423	0.0002835248	0.00027362772	0.07160177	7734.981692075729
26	0.8636364	0.3431743	1.0	0.0	0.6	0.48989794	1.0	0.0	5.659091	4.0	6500	0.25272974	0.3024968	1.1058186	-0.2296767	0.2527197	0.30249903	1.1270306	-0.12571129	0.1424537	0.16094379	0.00109287	-0.30398175	0.0002627193	0.00026512306	0.12597658	8038.302330493927
27	0.825	0.3799671	1.0	0.0	0.8	0.40000004	1.0	0.0	6.225	6.6	6750	0.2572351	0.30509156	1.0888085	-0.2035193	0.25724623	0.30512118	1.0878301	-0.19529787	0.13816097	0.16094379	0.0013274677	-0.3080319	0.00029531447	0.0002837829	0.1509169	8355.190175771713
28	0.8541667	0.35293907	1.0	0.0	1.0	0.0	1.0	1.0	5.1875	4.0	7000	0.26017424	0.3051142	1.0655594	-0.11014511	0.2601673	0.3050131	1.0907416	-0.1381684	0.13199984	0.16094379	0.0016866146	-0.3097234	0.0002825607	0.0002862919	0.18456697	8670.358645677567
29	0.8717949	0.33431807	1.0	0.0	1.0	0.0	1.0	1.0	6.4615383	4.0	7250	0.264357	0.30836764	1.0606401	-0.123215415	0.26433685	0.3084187	1.0727574	-0.09153773	0.12977073	0.16094379	0.002271471	-0.31270573	0.00023039298	0.00021826448	0.18965547	8967.903000116348
