Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
20	0.6060606	0.48862168	1.0	0.0	0.4	0.48989797	1.0	0.0	7.5454545	4.55	5000	0.25631115	0.30410525	1.4321127	-0.22864299	0.25626013	0.30460384	1.3991141	-0.19715276	0.22888714	0.16094379	0.001821363	-0.3131804	0.0013921405	0.0012474201	-0.42881337	211.5500452518463
21	0.44	0.49638695	1.0	0.0	0.5	0.5	1.0	0.0	5.12	8.6	5250	0.25355902	0.3032512	1.5104336	-0.26232058	0.25365785	0.30366367	1.5504949	-0.27622032	0.22065973	0.16094379	0.0013978925	-0.30980828	0.0013851869	0.0013706964	-0.39221618	221.82143998146057
22	0.4888889	0.49987656	1.0	0.0	0.5	0.5	1.0	0.0	5.3333335	7.8	5500	0.2602376	0.30670473	1.507157	-0.29018405	0.260169	0.30657065	1.4652699	-0.2279458	0.20304297	0.16094379	0.0011107806	-0.31451315	0.0014814296	0.0014886399	-0.28639033	232.06745195388794
23	0.5882353	0.49215293	1.0	0.0	0.65	0.4769696	1.0	0.0	7.470588	6.6	5750	0.25691134	0.30629078	1.4643863	-0.23657954	0.25689238	0.3066517	1.4685599	-0.20499177	0.20215473	0.16094379	0.0008873929	-0.31110993	0.0012931305	0.001227474	-0.28948635	241.77604341506958
24	0.5862069	0.4925123	1.0	0.0	0.5	0.5	1.0	0.0	8.655172	9.25	6000	0.26448834	0.31288838	1.4782653	-0.18711542	0.2645998	0.31335658	1.4934874	-0.19930625	0.19320935	0.16094379	0.00070334197	-0.3173523	0.001241862	0.0011494372	-0.23368974	251.97472715377808
25	0.5869565	0.49238047	1.0	0.0	0.65	0.4769696	1.0	0.0	5.4565215	6.15	6250	0.25965738	0.30599675	1.5501691	-0.18427049	0.25964105	0.30634433	1.5446234	-0.1943821	0.18944158	0.16094379	0.0005864982	-0.3104849	0.0012579856	0.0011340118	-0.21216583	262.0670521259308
26	0.6744186	0.46859163	1.0	0.0	0.7	0.45825756	1.0	0.0	5.7906976	6.35	6500	0.26045635	0.30954424	1.5149803	-0.18121883	0.26047915	0.30960664	1.4532325	-0.18160397	0.18295245	0.16094379	0.00048275662	-0.31213245	0.0011108337	0.0010718199	-0.16793051	271.8172607421875
27	0.6041667	0.48902896	1.0	0.0	0.8	0.4	1.0	0.0	5.2291665	4.95	6750	0.26131916	0.30981115	1.4521353	-0.23232584	0.26127395	0.30983052	1.5123928	-0.1910362	0.16956618	0.16094379	0.00042613948	-0.31354803	0.0011195092	0.001078377	-0.06682614	281.3833785057068
28	0.74418604	0.43631774	1.0	0.0	0.45	0.49749368	1.0	0.0	5.883721	11.05	7000	0.26624268	0.31035188	1.3762225	-0.22713986	0.26629713	0.31038275	1.4039026	-0.18066387	0.16588321	0.16094379	0.0004033941	-0.31968412	0.0009972963	0.0010313975	-0.03856177	292.6913251876831
29	0.76744187	0.42246282	1.0	0.0	0.9	0.29999998	1.0	0.0	5.744186	6.3	7250	0.26966473	0.31211424	1.193857	-0.1688081	0.2695916	0.31208852	1.1571013	-0.16952342	0.15942015	0.16094379	0.00038718144	-0.32192966	0.0010158692	0.0009833239	0.01196629	302.4469449520111
30	0.7804878	0.41391614	1.0	0.0	0.8	0.4	1.0	0.0	6.1463413	5.55	7500	0.27566552	0.31323782	1.3609507	-0.19857636	0.27569917	0.31337556	1.3692083	-0.17041978	0.15126675	0.16094379	0.00042816447	-0.32940924	0.0009081472	0.0008910246	0.075258486	312.0156304836273
31	0.6216216	0.48498267	1.0	0.0	0.85	0.35707143	1.0	0.0	6.675676	6.35	7750	0.27477172	0.3118605	1.3961148	-0.22206853	0.27482477	0.3121223	1.45345	-0.19427875	0.15640119	0.16094379	0.0004542202	-0.32702878	0.0010003088	0.00093279383	0.034995493	322.36488246917725
32	0.95238096	0.21295887	1.0	0.0	0.8	0.4	1.0	0.0	6.0	5.0	8000	0.275002	0.31056207	1.1282283	-0.2215547	0.27496508	0.3106912	1.1590347	-0.15484393	0.14993222	0.16094379	0.00048654954	-0.32723817	0.00093099894	0.0008670709	0.08390386	331.99968552589417
33	0.80487806	0.39629456	1.0	0.0	0.9	0.29999998	1.0	0.0	6.1463413	7.2	8250	0.27825907	0.31208783	1.5389655	-0.19888264	0.2782212	0.3121315	1.5195223	-0.1434722	0.14391604	0.16094379	0.00057007006	-0.33109653	0.0007728878	0.00075298065	0.12717083	341.9106171131134
34	0.7307692	0.4435601	1.0	0.0	0.9	0.29999998	1.0	0.0	4.7115383	5.35	8500	0.27820832	0.3107946	1.4039285	-0.15562402	0.27818128	0.3110792	1.4295582	-0.1363602	0.1394541	0.16094379	0.000702931	-0.33223933	0.00087801117	0.0008357551	0.15603463	351.6636447906494
