Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Actor Noise	Time
33	0.90909094	0.28747982	1.0	0.0	1.0	0.0	1.0	1.0	5.75	6.2	8250	3.4930596	6.272639	1.7161611	-0.40197796	0.00028459908	0.1	10028.33509349823
34	0.88372093	0.32055926	1.0	0.0	1.0	0.0	1.0	1.0	5.4883723	6.0	8500	3.4907672	6.2689433	1.7533574	-0.47196054	0.0002730341	0.1	10331.39895939827
35	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	6.868421	8.8	8750	3.5023708	6.2899594	1.7130259	-0.31690603	0.00024318737	0.1	10657.742367982864
36	0.8974359	0.3033887	1.0	0.0	1.0	0.0	1.0	1.0	6.4358974	6.0	9000	3.500367	6.286189	1.7316514	-0.36101043	0.00023980823	0.1	10969.886364936829
37	0.969697	0.17141983	1.0	0.0	1.0	0.0	1.0	1.0	7.5151515	7.8	9250	3.496011	6.2787733	1.6927601	-0.40937775	0.00024979	0.1	11276.502755403519
38	0.8695652	0.33678114	1.0	0.0	1.0	0.0	1.0	1.0	5.4130435	4.4	9500	3.4771323	6.245034	1.7439396	-0.35972416	0.00023636142	0.1	11582.951277017593
39	0.9459459	0.22612432	1.0	0.0	1.0	0.0	1.0	1.0	6.810811	6.6	9750	3.4721699	6.2364135	1.7203177	-0.38065687	0.00022935159	0.1	11892.023470878601
40	0.90909094	0.2874798	1.0	0.0	1.0	0.0	1.0	1.0	7.5454545	5.6	10000	3.5128722	6.309703	1.6328213	-0.3644571	0.00021750208	0.1	12195.016174793243
41	0.8918919	0.3105169	1.0	0.0	1.0	0.0	1.0	1.0	6.8378377	6.6	10250	3.5264685	6.333653	1.7006943	-0.40539852	0.00024002396	0.1	12498.024832248688
42	0.9411765	0.23529412	1.0	0.0	1.0	0.0	1.0	1.0	7.2058825	6.2	10500	3.5458076	6.3678937	1.7590879	-0.32757056	0.00022477105	0.1	12797.16976737976
43	0.8648649	0.34186783	1.0	0.0	1.0	0.0	1.0	1.0	6.810811	5.6	10750	3.5330777	6.3456025	1.8008229	-0.35128832	0.00023570028	0.1	13093.306612968445
44	0.9230769	0.26646933	1.0	0.0	1.0	0.0	1.0	1.0	6.4102564	9.8	11000	3.5219479	6.325865	1.8084086	-0.42871368	0.0002445728	0.1	13420.554138422012
45	0.9189189	0.2729596	1.0	0.0	0.8	0.40000004	1.0	0.0	6.756757	4.8	11250	3.5262804	6.3331494	1.7421025	-0.3891216	0.00027042112	0.1	13718.403225183487
46	0.84210527	0.3646423	1.0	0.0	1.0	0.0	1.0	1.0	6.6842103	8.6	11500	3.508719	6.302135	1.7132852	-0.36800092	0.00021557549	0.1	14021.539655447006
47	0.975	0.15612495	1.0	0.0	1.0	0.0	1.0	1.0	6.0	5.4	11750	3.5184224	6.3194175	1.7213123	-0.36433262	0.00024606605	0.1	14326.580174684525
48	0.97619045	0.15245534	1.0	0.0	1.0	0.0	1.0	1.0	6.047619	6.2	12000	3.519771	6.321793	1.6702285	-0.36079845	0.0002498084	0.1	14635.524467468262
49	0.8857143	0.31815797	1.0	0.0	0.8	0.4	1.0	0.0	7.0857143	6.2	12250	3.5056093	6.296286	1.8041971	-0.39051515	0.00023770655	0.1	14942.340951442719
50	0.94736844	0.22329688	1.0	0.0	1.0	0.0	1.0	1.0	6.736842	4.2	12500	3.544425	6.3667836	1.8029795	-0.4468894	0.00023484719	0.1	15242.277636051178
51	0.94871795	0.22057246	1.0	0.0	1.0	0.0	1.0	1.0	6.4102564	4.8	12750	3.5506759	6.3775654	1.7381082	-0.364874	0.00025678426	0.1	15546.750217437744
52	0.8918919	0.3105169	1.0	0.0	1.0	0.0	1.0	1.0	6.675676	5.4	13000	3.5778277	6.4254107	1.7442533	-0.35389096	0.00020116722	0.1	15835.231706142426
53	0.9714286	0.16659863	1.0	0.0	1.0	0.0	1.0	1.0	7.2285714	7.0	13250	3.5763083	6.4230447	1.8252375	-0.40488243	0.00020737844	0.1	16146.311781406403
54	0.89361703	0.30832714	1.0	0.0	0.8	0.40000004	1.0	0.0	5.319149	6.6	13500	3.5789516	6.4277315	1.6957269	-0.35254878	0.00017479663	0.1	16469.079429388046
55	0.8	0.4	1.0	0.0	1.0	0.0	1.0	1.0	5.5333333	5.6	13750	3.5644288	6.401778	1.7783635	-0.36582065	0.00017510296	0.1	16788.767231941223
56	0.8888889	0.3142697	1.0	0.0	1.0	0.0	1.0	1.0	5.5111113	6.8	14000	3.5525997	6.3810306	1.6758425	-0.40662926	0.00017549629	0.1	17107.966893672943
57	0.85714287	0.3499271	1.0	0.0	1.0	0.0	1.0	1.0	7.0571427	7.6	14250	3.524671	6.3304477	1.8061817	-0.41111815	0.00018568453	0.1	17408.65561747551
58	0.875	0.3307189	1.0	0.0	1.0	0.0	1.0	1.0	6.425	8.4	14500	3.5020356	6.2901573	1.6841657	-0.442759	0.00018064163	0.1	17716.312046289444
