Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Actor Noise	Time
30	0.29333332	0.45528993	1.0	0.0	0.3	0.45825756	1.0	0.0	1.1111112	1.0	7500	0.55192435	0.5519573	-0.47855335	0.0140341185	0.05	236.45804929733276
31	0.23660715	0.42499903	1.0	0.0	0.2	0.4	1.0	0.0	1.1160715	1.1	7750	0.5642974	0.56418717	-0.48769122	0.011267904	0.05	243.6231336593628
32	0.22510822	0.41765362	1.0	0.0	0.15	0.35707143	1.0	0.0	1.0822511	1.15	8000	0.5685383	0.56856686	-0.49439555	0.012228424	0.05	251.479416847229
33	0.21333334	0.40966108	1.0	0.0	0.1	0.29999998	1.0	0.0	1.1111112	1.1	8250	0.56126314	0.5613204	-0.48610765	0.011683596	0.05	258.76758456230164
34	0.23580787	0.42450264	1.0	0.0	0.2	0.4	1.0	0.0	1.091703	1.0	8500	0.55814373	0.5582326	-0.5001537	0.0108648455	0.05	266.8442795276642
35	0.25213677	0.43423936	1.0	0.0	0.2	0.4	1.0	0.0	1.0683761	1.15	8750	0.5574596	0.5573267	-0.4980736	0.010432961	0.05	273.85393476486206
36	0.23376623	0.42322522	1.0	0.0	0.2	0.4	1.0	0.0	1.0822511	1.15	9000	0.5590514	0.5590971	-0.50601476	0.009401272	0.05	282.40045380592346
37	0.24892704	0.43239146	1.0	0.0	0.35	0.4769696	1.0	0.0	1.0729613	1.0	9250	0.56138366	0.5614458	-0.507177	0.008535444	0.05	289.2134327888489
38	0.23809524	0.42591774	1.0	0.0	0.1	0.29999998	1.0	0.0	1.0822511	1.1	9500	0.5578775	0.5578248	-0.5022914	0.0075234342	0.05	297.65366435050964
39	0.25106382	0.4336252	1.0	0.0	0.15	0.35707143	1.0	0.0	1.0638298	1.05	9750	0.5647843	0.5647851	-0.5161068	0.005563166	0.05	304.7272458076477
40	0.24669604	0.43108833	1.0	0.0	0.45	0.4974937	1.0	0.0	1.1013216	1.15	10000	0.563533	0.5635247	-0.51061004	0.0067799585	0.05	312.8381681442261
41	0.25	0.4330127	1.0	0.0	0.2	0.4	1.0	0.0	1.0964912	1.05	10250	0.5596836	0.55974	-0.5050124	0.007910263	0.05	320.20531368255615
42	0.27433628	0.4461792	1.0	0.0	0.3	0.45825756	1.0	0.0	1.1061947	1.1	10500	0.55491513	0.55486673	-0.5092376	0.008271357	0.05	328.09195613861084
43	0.2746781	0.44635192	1.0	0.0	0.25	0.4330127	1.0	0.0	1.0729613	1.15	10750	0.5549637	0.5549477	-0.508536	0.007356701	0.05	335.37531304359436
44	0.2706422	0.4442916	1.0	0.0	0.4	0.48989797	1.0	0.0	1.146789	1.1	11000	0.56411815	0.564216	-0.513631	0.006067593	0.05	343.08269786834717
45	0.24568966	0.43049532	1.0	0.0	0.3	0.45825756	1.0	0.0	1.0775862	1.1	11250	0.5551433	0.55512804	-0.50099427	0.006664155	0.05	350.457147359848
46	0.22413793	0.41701335	1.0	0.0	0.15	0.35707143	1.0	0.0	1.0775862	1.0	11500	0.56606585	0.5660414	-0.5207472	0.005635236	0.05	358.5651316642761
47	0.2489083	0.4323806	1.0	0.0	0.1	0.29999998	1.0	0.0	1.091703	1.05	11750	0.5606663	0.56050336	-0.5200543	0.005352417	0.05	365.963632106781
48	0.23214285	0.42219967	1.0	0.0	0.25	0.4330127	1.0	0.0	1.1160715	1.05	12000	0.5631787	0.5632689	-0.5131397	0.0072265402	0.05	373.9346101284027
49	0.25110132	0.43364668	1.0	0.0	0.25	0.4330127	1.0	0.0	1.0969163	1.1	12250	0.5557499	0.5557643	-0.5083495	0.0070219743	0.05	381.25484323501587
50	0.23076923	0.42132506	1.0	0.0	0.15	0.35707143	1.0	0.0	1.0726496	1.1	12500	0.5673403	0.5673438	-0.5280961	0.0056315116	0.05	389.6645483970642
51	0.197479	0.39809674	1.0	0.0	0.35	0.4769696	1.0	0.0	1.0504202	1.05	12750	0.56661266	0.56654596	-0.534497	0.0049462747	0.05	397.17022132873535
52	0.23788546	0.42578867	1.0	0.0	0.4	0.489898	1.0	0.0	1.1013216	1.05	13000	0.56453115	0.5645293	-0.51920855	0.006965896	0.05	405.523464679718
